62,995543.8367
125,995543.8367
203,995543.8367
250,995543.8367
312,995543.8367
375,995543.8367
437,1007119.928
500,1007119.928
562,1007119.928
625,1007119.928
703,1018696.019
750,1018696.019
812,1018696.019
875,1018696.019
937,1018696.019
1000,1030272.11
1062,1030272.11
1125,1030272.11
1187,1076576.475
1250,1076576.475
1312,1076576.475
1375,1076576.475
1437,1134456.93
1500,1146033.021
1562,1146033.021
1625,1203913.477
1687,1203913.477
1750,1250217.841
1812,1250217.841
1890,1261793.933
1937,1261793.933
2000,1319674.388
2062,1319674.388
2125,1331250.479
2187,1377554.844
2250,1377554.844
2312,1377554.844
2375,1377554.844
2437,1377554.844
2500,1389130.935
2562,1389130.935
2625,1389130.935
2687,1389130.935
2750,1389130.935
2812,1389130.935
2875,1389130.935
2937,1389130.935
3000,1389130.935
3078,1389130.935
3125,1400707.026
3187,1400707.026
3265,1400707.026
3312,1400707.026
3375,1400707.026
3437,1447011.391
3500,1447011.391
3562,1447011.391
3640,1458587.482
3687,1458587.482
3750,1458587.482
3812,1470163.573
3875,1470163.573
3937,1470163.573
4000,1470163.573
4062,1470163.573
4125,1481739.664
4187,1481739.664
4250,1481739.664
4312,1481739.664
4375,1481739.664
4453,1481739.664
4500,1481739.664
4562,1481739.664
4625,1481739.664
4687,1481739.664
4750,1493315.755
4812,1504891.846
4875,1504891.846
4937,1516467.937
5015,1516467.937
5062,1516467.937
5125,1516467.937
5187,1516467.937
5250,1528044.028
5312,1528044.028
5375,1528044.028
5437,1528044.028
5500,1528044.028
5562,1528044.028
5625,1528044.028
5687,1528044.028
5750,1551196.211
5812,1551196.211
5890,1551196.211
5937,1551196.211
6000,1551196.211
6062,1562772.302
6125,1562772.302
6187,1562772.302
6250,1562772.302
6328,1574348.393
6375,1574348.393
6437,1574348.393
6500,1585924.484
6578,1585924.484
6625,1585924.484
6687,1585924.484
6750,1585924.484
6812,1620652.757
6890,1620652.757
6937,1620652.757
7000,1620652.757
7062,1678533.213
7125,1678533.213
7187,1678533.213
7250,1678533.213
7312,1678533.213
7375,1678533.213
7437,1678533.213
7500,1678533.213
7562,1678533.213
7625,1690109.304
7687,1690109.304
7750,1690109.304
7812,1713261.486
7875,1713261.486
7937,1713261.486
8000,1713261.486
8062,1713261.486
8125,1713261.486
8187,1713261.486
8250,1713261.486
8312,1713261.486
8375,1713261.486
8437,1713261.486
8500,1724837.578
8562,1724837.578
8625,1724837.578
8687,1724837.578
8750,1747989.76
8812,1782718.033
8875,1782718.033
8937,1782718.033
9000,1829022.398
9062,1840598.489
9125,1840598.489
9187,1886902.853
9250,1886902.853
9312,1886902.853
9375,1886902.853
9437,1886902.853
9500,1921631.127
9562,1921631.127
9625,1921631.127
9687,1921631.127
9750,1956359.4
9812,1956359.4
9875,1956359.4
9953,1956359.4
10000,1956359.4
10062,1956359.4
10140,1956359.4
10187,1956359.4
10250,1956359.4
10328,1956359.4
10375,1956359.4
10437,1991087.673
10500,1991087.673
10562,1991087.673
10625,1991087.673
10687,2025815.947
10765,2025815.947
10812,2060544.22
10875,2060544.22
10937,2060544.22
11000,2106848.585
11062,2106848.585
11125,2106848.585
11187,2153152.949
11250,2153152.949
11312,2153152.949
11375,2153152.949
11437,2199457.314
11500,2199457.314
11562,2199457.314
11625,2199457.314
11687,2234185.587
11765,2245761.678
11812,2257337.769
11875,2257337.769
11937,2268913.86
12000,2268913.86
12062,2292066.043
12125,2292066.043
12187,2292066.043
12250,2303642.134
12312,2315218.225
12375,2315218.225
12437,2315218.225
12500,2349946.498
12562,2349946.498
12625,2349946.498
12687,2349946.498
12750,2349946.498
12812,2396250.863
12890,2396250.863
12937,2396250.863
13000,2419403.045
13062,2419403.045
13125,2419403.045
13187,2419403.045
13250,2419403.045
13328,2419403.045
13375,2430979.136
13437,2430979.136
13500,2488859.592
13562,2488859.592
13625,2488859.592
13687,2500435.683
13750,2500435.683
13828,2558316.138
13875,2593044.412
13937,2593044.412
14000,2593044.412
14062,2604620.503
14125,2604620.503
14187,2616196.594
14250,2616196.594
14312,2650924.867
14375,2650924.867
14437,2674077.05
14515,2708805.323
14562,2708805.323
14625,2708805.323
14687,2708805.323
14750,2708805.323
14812,2708805.323
14890,2708805.323
14937,2708805.323
15000,2708805.323
15062,2708805.323
15125,2708805.323
15187,2708805.323
15250,2708805.323
15312,2708805.323
15375,2720381.414
15437,2720381.414
15500,2720381.414
15578,2720381.414
15625,2720381.414
15687,2731957.505
15765,2731957.505
15812,2766685.779
15875,2766685.779
15937,2766685.779
16000,2766685.779
16078,2766685.779
16125,2766685.779
16187,2766685.779
16250,2766685.779
16312,2766685.779
16375,2766685.779
16437,2778261.87
16500,2778261.87
16562,2778261.87
16625,2778261.87
16687,2778261.87
16750,2778261.87
16812,2778261.87
16875,2778261.87
16937,2778261.87
17000,2778261.87
17062,2836142.325
17125,2836142.325
17187,2836142.325
17250,2836142.325
17312,2882446.69
17375,2882446.69
17437,2882446.69
17500,2882446.69
17578,2905598.872
17640,2917174.963
17703,2917174.963
17765,2917174.963
17828,2928751.054
17890,2963479.328
17953,2975055.419
18015,2975055.419
18078,3056088.057
18140,3056088.057
18203,3056088.057
18265,3056088.057
18328,3056088.057
18390,3067664.148
18453,3067664.148
18515,3067664.148
18578,3067664.148
18640,3067664.148
18703,3067664.148
18765,3067664.148
18828,3067664.148
18890,3067664.148
18953,3067664.148
19015,3067664.148
19078,3067664.148
19140,3067664.148
19203,3079240.239
19265,3113968.512
19328,3113968.512
19390,3113968.512
19453,3137120.695
19515,3137120.695
